date,UMDF Channel Equities,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200127,"MBO Ch.57 - Other instruments - cash, termo, auction",9.631.371,2.326,"   5,2098",2297,"   1,4539"
20200127,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.479.119,2.103,"   1,4714",1543,"   0,8831"
20200127,MBO Ch.59 - OTC,11.271,100,"   0,1261",0,0
20200127,MBO Ch.60 - IBOVESPA Options,8.585.559,4.358,"   3,0430",2790,"   1,7211"
20200127,MBO Ch.62 - Index e Iopv,3.434,27,"   0,0458",0,0
20200128,Peak of Messages -,0,0,0,0,
20200128,"MBO Ch.51 - Mining - cash, termo, auction",1.572.195,1.027,"   1,3655",0,0
20200128,"MBO Ch.52 - Mining - options, exercise, strategies",17.622.763,9.779,"   5,6675",0,0
20200128,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.349.911,1.262,"   0,9755",0,0
20200128,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.025.511,11.135,"   6,6251",0,0
20200128,"MBO Ch.55 - Banks - cash, termo, auction",7.185.426,2.566,"   2,2504",0,0
20200128,"MBO Ch.56 - Banks - options, exercise, strategies",8.097.759,6.287,"   3,9827",0,0
20200128,"MBO Ch.57 - Other instruments - cash, termo, auction",9.155.020,2.424,"   5,3660",0,0
20200128,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.655.257,2.225,"   1,4634",0,0
20200128,MBO Ch.59 - OTC,9.055,95,"   0,0983",0,0
20200128,MBO Ch.60 - IBOVESPA Options,10.066.156,4.117,"   2,7299",0,0
20200128,MBO Ch.62 - Index e Iopv,3.449,33,"   0,0377",0,0
20200129,Peak of Messages - 16:00:15,0,0,0,26763,"  16,7325"
20200129,"MBO Ch.51 - Mining - cash, termo, auction",1.607.373,1.588,"   1,3238",1588,"   1,0373"
20200129,"MBO Ch.52 - Mining - options, exercise, strategies",18.339.165,7.608,"   4,6174",7583,"   4,3854"
20200129,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.608.380,1.134,"   0,9355",859,"   0,5506"
20200129,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",11.326.233,7.160,"   4,1634",2968,"   1,8173"
20200129,"MBO Ch.55 - Banks - cash, termo, auction",8.373.599,2.958,"   2,0344",2958,"   1,9555"
20200129,"MBO Ch.56 - Banks - options, exercise, strategies",8.609.119,4.924,"   3,0812",3183,"   2,1497"
20200129,"MBO Ch.57 - Other instruments - cash, termo, auction",9.021.429,4.653,"   4,8445",4653,"   2,9320"
20200129,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.041.934,2.838,"   1,8365",2838,"   1,8365"
20200129,MBO Ch.59 - OTC,9.107,87,"   0,0887",0,0
20200129,MBO Ch.60 - IBOVESPA Options,11.668.144,6.336,"   4,2659",133,"   0,0682"
20200129,MBO Ch.62 - Index e Iopv,3.478,36,"   0,0409",0,0
20200130,Peak of Messages - 16:43:40,0,0,0,28854,"  17,4109"
